MOF_name,"Dos at Fermi energy, eln/cell",Band_gap,"Dos at VBM, eln/cell","Dos at CBM, eln/cell",HSE band gap,LCD,"PLD, Å",Density (g/cm3),Accessible Surface Area (m2/cm3),Accessible Surface Area (m2/g),Volume Fraction,Criteria#,Multiplier_Sum,Space_group#,Space_group,Temp,Zprime,Year,Metal,Metal 2,Metal 3,Metals number,Cell volume,Metal density,Crit: metal,Crit: redox match,Crit: redox active linker,Crit: pi-pi stacking,without ions,2D,1aromatico-up,2aromatici-up,N3--NCN up,benzene,6m-rings,pyridine,pyrimidine,metal-S,metal-O,metal-N,metal-halogen,5m-ring-leg2met,5-m-rings,CN-M,M-h2o,M-H2O-M,M-N-NM-N-M,M-C-C-TRIANG,COOM
IMUBAU,1.2332,0.133450883,1.2332,1.2332,not found,2.27493,1.16422,1.675,0,0,0.28444,3,6.5,154,P3221,298,0.5,2009,Co,,,1,644.875,0.001550688,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
HOHBIR,1.2243,0.187923175,1.2243,1.2243,not found,1.43051,0.86924,2.152,0,0,0.21162,2,1,55,Pbam,150,0.5,2012,Fe,,,1,802.501,0.001246104,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
XOJCAB,0.9616,0.246709287,0.9616,0.9616,not found,5.26967,1.71175,1.713,0,0,0.4525,2,1,14,P21/n,200,0.5,2004,Co,,,1,5758.471,0.000173657,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no
SATWES02,0.9179,0.243916038,0.9179,0.9179,not found,0.333333,none,1.624,none,none,none,2,1,14,P21/c,173,0.5,2011,Fe,,,1,4174.978,0.000718567,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HEMZOR,0.7912,0.141816751,0.7912,0.7912,not found,0.933333,none,2.153,none,none,none,2,1,14,P21/c,293,1,2003,Cu,,,1,533.69,0.001873747,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
LAPBAI,0.784,0.223557298,0.784,0.784,not found,0.453333,none,1.68,none,none,none,2,1,14,P21/c,293,1,2011,Co,,,1,713.9,0.002801513,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no
MEBMEM01,0.7272,0.171203956,0.7272,0.7272,not found,6.29857,5.85994,2.615,896.706,348.657,0.44598,3,1,2,P-1,120,0.5,2011,Ag,,,1,1310.613,0.002289005,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no
TONBII,0.7045,0.14291854,0.7045,0.7045,2.3,4.87462,4.60339,1.879,419.807,261.485,0.37254,2,1,14,P21/c,173,1,2010,Fe,,,1,1117.13,0.000895151,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
XANNAB,0.6886,0.245945463,0.6886,0.6886,not found,5.37371,3.38826,1.738,0,0,0.48364,2,3,52,Pnna,298,0.5,2006,Ag,,,1,9423.408,0.000212237,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
MOFFAO,0.6244,0.152110273,0.6244,0.6244,not found,2.1149,1.86463,1.637,0,0,0.2832,3,1,15,C2/c,295,0.5,2015,Fe,,,1,300.38,0.003329116,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
PEVCID,0.5357,0.117647328,0.5357,0.5357,not found,2.24449,1.07874,1.58,0,0,0.29486,2,4,2,P-1,293,1,2002,Cu,,,1,453.835,0.002203444,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
HEMZUX,0.5291,0.18119516,0.5291,0.5291,not found,0.866667,none,2.33,none,none,none,2,5,70,Fddd,100,0.25,2016,Cu,,,1,556.45,0.001797107,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
QEJCIR,0.5053,0.150975014,0.5053,0.5053,not found,1.96474,0.97571,1.892,0,0,0.24972,3,1,56,Pccn,290,0.5,2014,Fe,,,1,496.773,0.002012992,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
FIRMOI,0.4967,0.235307445,0.4967,0.4967,not found,4.07509,1.97082,1.653,0,0,0.46924,2,1,14,P21/n,150,1,2011,Cu,,,1,1492.938,0.00066982,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
OSANED,0.4669,0.199904347,0.4669,0.4669,not found,0.386667,none,1.852,none,none,none,3,1,2,P-1,295,1,2000,Ni,,,1,500.091,0.001999636,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
EHAXUG01,0.4516,0.141587903,0.4516,0.4516,not found,1.20325,0.50011,3.055,0,0,0.10732,2,2,51,Pmma,293,0.25,2017,Fe,,,1,280.224,0.003568574,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
OKERIG,0.4362,0.131985006,0.4362,0.4362,not found,1.75921,1.31468,2.012,0,0,0.2287,3,1,225,Fm-3m,293,0.04,2012,Ni,,,1,394.464,0.002535086,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
DEGVUJ,0.4195,0.217386844,0.4195,0.4195,not found,0.886667,none,1.454,none,none,none,2,1.5,15,C2/c,291,0.5,2008,Co,,,1,3505.267,0.000285285,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes
UYIGAM02,0.4119,0.21071679,0.4119,0.4119,not found,0.546667,none,1.508,none,none,none,2,6,60,Pcan,298,0.5,2005,Co,,,1,1296.166,0.000771506,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
FIFZOJ10,0.3633,0.216854862,0.3633,0.3633,not found,2.29441,0.99263,2.967,0,0,0.28708,2,2,52,Pnna,123,0.5,2004,Cu,,,1,677.14,0.001476799,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no
EMAHIK,0.3144,0.214525295,0.3144,0.3144,not found,7.50766,7.12113,2.235,710.665,339.642,0.4839,2,1,148,R-3,120,1,2017,Ag,,,1,3274.928,0.0006107,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no
XIYFIV,0.3072,0.236937679,0.3072,0.3072,not found,4.38147,2.77634,1.702,0,0,0.4214,2,10,162,P-31m,293,0.08,2004,Mn,,,1,1241.026,0.00161157,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
XIYFER,0.2423,0.251739855,61.06735872,35.03572982,not found,4.46819,1.97445,1.698,0,0,0.41592,2,1,53,Pmna,5,0.25,2004,Mn,,,1,2353.949,0.000849636,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
ENAWAS,0.2278,0.242012058,11.18559657,5.348898666,not found,2.30672,1.03524,1.811,0,0,0.309,3,1,14,P21/c,293,1,2016,Ni,,,1,967.891,0.002066348,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
BAMXUL,0.2223,2.955836797,29.22708197,0,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Ag,Ge,,2,not found,not found,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HOKDIW,0.2209,0.244174274,37.29833229,16.16520748,not found,4.4846,3.84562,1.41,868.257,782.609,0.53634,3,2,137,P42/nmc,295,0.25,2000,Co,,,1,4696.64,0.000425836,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no
FATROJ,0.1799,3.950333948,5.797592297,0,not found,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Zn,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
VOMYIF,0.1424,2.895497731,22.07170282,0,not found,1.72138,0.91093,2.9,0,0,0.25636,2,1,11,P21/m,295,0.5,2001,Tl,,,1,448.427,0.002230017,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
ALICEE,0.1402,0.156220008,0.834924168,0.262043137,not found,8.89228,8.87656,2.069,1116.31,657.648,0.5812,2,3,2,P-1,296,0.5,2013,Cu,,,1,1278.62,0.001564186,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no
XIYFIV,0.1397,0.257178867,19.73391294,12.93125182,not found,4.38147,2.77634,1.702,0,0,0.4214,2,10,162,P-31m,293,0.08,2004,Mn,,,1,1241.026,0.00161157,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
MUDCOD,0.1342,0.263427689,50.34203576,3.60734307,not found,2.60317,1.49589,1.453,0,0,0.39976,2,1,15,C2/c,193,0.5,2000,Ni,,,1,1466.833,0.000681741,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
SUYDOF01,0.1333,0.862103159,28.09717099,0,not found,2.08968,0.98651,2.095,0,0,0.28556,2,8,5,C2,150,0.5,2013,Cu,,,1,980.46,0.004079718,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
